Payment system code;Payment service provider;BIC (SWIFT);Payment system SIPS
200;Všeobecná úverová banka, a.s.;SUBASKBX;x
900;Slovenská sporite¾òa, a.s.;GIBASKBX;x
720;Národná banka Slovenska;NBSBSKBX;x
1100;Tatra banka, a.s.;TATRSKBX;x
1111;UniCredit Bank Czech Republic and Slovakia, a.s., poboèka zahraniènej banky;UNCRSKBX;x
3000;Slovenská záruèná a rozvojová banka, a.s.;SLZBSKBA;x
3100;Sberbank Slovensko, a.s. ;LUBASKBX;x
5200;OTP Banka Slovensko, a.s. ;OTPVSKBX;x
5600;Prima banka Slovensko, a.s.;KOMASK2X;x
5900;Prvá stavebná sporite¾òa, a.s.;PRVASKBA;x
6500;Poštová banka, a.s.;POBNSKBA;x
7300;ING Bank N.V.,  poboèka zahraniènej banky;INGBSKBX;
7500;Èeskoslovenská obchodná banka, a.s.;CEKOSKBX;x
7930;Wustenrot stavebná sporite¾òa, a.s.;WUSTSKBA;x
8050;Commerzbank Aktiengesellschaft, poboèka zahraniènej banky, Bratislava;COBASKBX;
8100;Komerèní banka, a.s., poboèka zahraniènej banky;KOMBSKBA;x
8120;Privatbanka, a.s.;BSLOSK22;x
8130;Citibank Europe plc, poboèka zahraniènej banky;CITISKBA;
8170;ÈSOB stavebná sporite¾òa, a.s.;KBSPSKBX;x
8160;EXIMBANKA SR;EXSKSKBX;x
8180;Štátna pokladnica;SPSRSKBA;x
8191;Centrálny depozitár cenných papierov SR, a.s.;;
8400;COFIDIS SA, poboèka zahraniènej banky;MAISSA;
8320;J&T BANKA, a.s., poboèka zahraniènej banky;JTBPSKBA;x
8330;Fio banka, a.s., poboèka zahraniènej banky;FIOZSKBA;x
8360;mBank S.A., poboèka zahraniènej banky;BREXSKBX;x
8370;Oberbank AG  poboèka zahraniènej banky v Slovenskej republike;OBKLSKBA;x
8390;AKCENTA, spoøitelní a uvìrní družstvo, poboèka Košice;;
8410;ZUNO BANK AG, poboèka zahraniènej banky;RIDBSKBX;
8420;BKS Bank AG, poboèka zahraniènej banky v SR;BFKKSKBB;x
8430;KDB Bank Europe Ltd., poboèka zahraniènej banky;KODBSKBX;
9950;SIA Central Europe, a.s.;;
9952;Trust Pay, a.s.;TPAYSKBX;
2010;Fio banka, a.s.;FIOBCZPP;x
9953;Payment Institution NFD a.s.;NFDS;
8440;BNP PARIBAS PERSONAL FINANCE SA, poboèka zahraniènej banky;BNPASA;
5800;J+T BANKA, a.s.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;JTBPCZPP;x
4000;Expobank CZ a.s.;EXPNCZPP;
8450;PKO BP S.A., poboèka zahraniènej banky;BPKOSA;
